id,raw_text,clean_text,stratum,brand_reply_actual,true_intent,true_action,notes
golden_001,This is not Canada’s flag 🇨🇺 @AppleSupport #emoji,This is not Canada’s flag 🇨🇺 #emoji,pure_random,We know how important your Apple device is. Please review support tips at https://support.apple.com.,,,
golden_002,"@AppleSupport updated to the latest iOS, now my Bluetooth is always on, I have to manually turn it off, it’s annoying! How do I change it","updated to the latest iOS, now my Bluetooth is always on, I have to manually turn it off, it’s annoying! How do I change it",pure_random,"@149734 In iOS 11 and later, when you toggle the Wi-Fi or Bluetooth buttons in Control Center, your device will immediately disconnect from Wi-Fi and Bluetooth accessories. Both Wi-Fi and Bluetooth will continue to be available. Learn more here: https://t.co/G7BHuQnDS6",,,
golden_003,"@AppleSupport Now if I try I cannot take a video.I would have to delete the 50secs.I have moved everything to icloud.I have tried phone off on,reset phone etc.Really annoying I do not understand it.I cannot take video via YouTube either says not available.","Now if I try I cannot take a video.I would have to delete the 50secs.I have moved everything to icloud.I have tried phone off on,reset phone etc.Really annoying I do not understand it.I cannot take video via YouTube either says not available.",pure_random,We know how important your Apple device is. Please review support tips at https://support.apple.com.,,,
golden_004,"@AppleSupport Of Course.
Unfortunately just one bug out of about ten which appeared in periodically steps since ios11 release",Of Course. Unfortunately just one bug out of about ten which appeared in periodically steps since ios11 release,pure_random,"@136587 Which iOS version is currently installed? Also, does this happen when changing orientation on the home screen or when you're within apps changing orientation?",,,
golden_005,@115858 @AppleSupport iOS 11.1.2 on iPhone7 still has touch issues and apps don’t open the first 2-3 times &amp; get frozen. Such a painful experience!!!,iOS 11.1.2 on iPhone7 still has touch issues and apps don’t open the first 2-3 times &amp; get frozen. Such a painful experience!!!,pure_random,"@148891 We know it's important for your iPhone to work the way you expect, and we're happy to see how we can help. Send us a DM with more information about what's going on, and we'll continue from there. https://t.co/GDrqU22YpT",,,
golden_006,@AppleSupport Just wanted to report poor battery life on iPhone 6S following iOS 11.1 update yesterday. Phone also running warmer.,Just wanted to report poor battery life on iPhone 6S following iOS 11.1 update yesterday. Phone also running warmer.,pure_random,"@125428 We’d love to help with your battery life. To start, please send us a DM. https://t.co/GDrqU22YpT",,,
golden_007,"Why is my phone storage taken up with so much ‘system’ - backed up, wiped it and set it up afresh to try and solve, but 2 hours later it’s back to taking up more than 4gb?? @AppleSupport can you help please? https://t.co/1HtsNx8PmB","Why is my phone storage taken up with so much ‘system’ - backed up, wiped it and set it up afresh to try and solve, but 2 hours later it’s back to taking up more than 4gb?? can you help please?",pure_random,@150980 We're here for you. DM us the iPhone you're using as well as the version of the iOS you're running using the link below and we'll go from there. https://t.co/GDrqU22YpT,,,
golden_008,"@AppleSupport No. Its not duplicated or anything. Im just wondering if the menu is not gonna stay in the center whenever I touch the assistive touch.
It kinda bugs me. Lol",No. Its not duplicated or anything. Im just wondering if the menu is not gonna stay in the center whenever I touch the assistive touch. It kinda bugs me. Lol,pure_random,"@149692 The assistive touch button can be positioned wherever it's most convenient for you, while the menu will appear in the middle so all functions are accessible. When you use functions or tap outside of the menu, it will revert to the button so your view is unobstructed.",,,
golden_009,@AppleSupport why every time I go to update of download an app I have to turn my phone on and off for it to work!?,why every time I go to update of download an app I have to turn my phone on and off for it to work!?,pure_random,"@141456 We want your iPhone working for you, and we'll do all we can to help. Can you describe for us what happens that requires you to restart your iPhone, for example, does the app become unresponsive after updating? Also, what iOS version is installed?",,,
golden_010,"@118721 @AppleSupport my iPhone is not syncing and stuck on 'Copying diagnostic information'? 6s, latest version iOS and iTunes.","my iPhone is not syncing and stuck on 'Copying diagnostic information'? 6s, latest version iOS and iTunes.",pure_random,We know how important your Apple device is. Please review support tips at https://support.apple.com.,,,
golden_011,@AppleSupport This and it’s awful. Help 😩😩 https://t.co/fDYzsmY4r3,This and it’s awful. Help 😩😩,pure_random,@152261 DM us which iOS device you are using and we can take a look at this. https://t.co/GDrqU22YpT,,,
golden_012,"Spent almost two hours on a chat with you guys, got transferred and a “Senior advisor” ended the chat on me after one message lol what a joke nothing resolved @AppleSupport","Spent almost two hours on a chat with you guys, got transferred and a “Senior advisor” ended the chat on me after one message lol what a joke nothing resolved",pure_random,@143498 Thanks for reaching out. Have you been reconnected as of yet? Let us know in a DM and we'll continue. https://t.co/GDrqU22YpT,,,
golden_013,@AppleSupport Series 3 38mm non LATE latest watchos,Series 3 38mm non LATE latest watchos,pure_random,@140657 Thanks. Let's go ahead and update the watchOS next as outlined here: https://t.co/s6t9pl6tpv Let us know when you've completed that via DM. https://t.co/GDrqU22YpT,,,
golden_014,@AppleSupport  @115858 would be nice if you guys fixed your stuff so I can type I normally instead of I️ popping up every time..,would be nice if you guys fixed your stuff so I can type I normally instead of I️ popping up every time..,pure_random,@122930 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,,,
golden_015,hi my macbook air is making a loud fan noise and i have checked activity monitor for anything with a large CPU and there is nothing @AppleSupport,hi my macbook air is making a loud fan noise and i have checked activity monitor for anything with a large CPU and there is nothing,pure_random,@140673 Thanks for taking that step and we'll continue to assist in any way we can. What is the top item listed in Activity Monitor and what percentage of CPU is it showing? Let us know in DM: https://t.co/GDrqU22YpT,,,
golden_016,@AppleSupport Thank you!  I'll get on it.,Thank you! I'll get on it.,pure_random,@150602 Sounds like a plan! Don't hesitate to reach back out if you have questions in the future. We're here for you.,,,
golden_017,@AppleSupport i signed out of my apple id on my phone &amp; when i signed back in tons of my music wasnt in my library/no longer downloaded &amp; my playlists were gone. i have an apple music membership. everything on my computer stayed the same however. how do i get it back to normal??,i signed out of my apple id on my phone &amp; when i signed back in tons of my music wasnt in my library/no longer downloaded &amp; my playlists were gone. i have an apple music membership. everything on my computer stayed the same however. how do i get it back to normal??,pure_random,@135091 We received your DM and We'll respond there shortly. Talk to you soon!,,,
golden_018,@AppleSupport Sent.,Sent.,pure_random,We know how important your Apple device is. Please review support tips at https://support.apple.com.,,,
golden_019,@AppleSupport apple. ones you get when you get a new phone.,apple. ones you get when you get a new phone.,pure_random,"@138707 Got it, thanks. So we're sure to be on the same page is there no sound at all or is there an issue with the sound quality? Also, does it happen when connected to any device?",,,
golden_020,@152727 @AppleSupport On the 8 and having same issue. I would like to use my phone please...,On the 8 and having same issue. I would like to use my phone please...,pure_random,@153214 Thanks for reaching out. We've received your DM. Look for a reply there shortly.,,,
golden_021,@AppleSupport is this you?? Or hacker?? https://t.co/L7N6CEoUr5,is this you?? Or hacker??,pure_random,@131274 Thanks for reaching out to us. We definitely understand your concern here. This email is not authentic. This is likely a phishing attempt to get personal information from you. You can learn more about how to identify phishing emails here: https://t.co/LNMCdqt6fD,,,
golden_022,Why do my earphones sound like they’re only half as loud as they would be full volume?!!! @AppleSupport,Why do my earphones sound like they’re only half as loud as they would be full volume?!!!,pure_random,We know how important your Apple device is. Please review support tips at https://support.apple.com.,,,
golden_023,"@AppleSupport I bought this phone on Friday and restored from a back up, it looks as if everything’s restored but it’s telling me it hasn’t here https://t.co/FiWBGeOtwh","I bought this phone on Friday and restored from a back up, it looks as if everything’s restored but it’s telling me it hasn’t here",pure_random,"@121459 Thanks for the screenshot, that really helps. Let's meet in DM and we can continue there. https://t.co/GDrqU22YpT",,,
golden_024,"@AppleSupport DM'ing, now!","DM'ing, now!",pure_random,@129393 Hello there. We've received your DM. Please watch for our response shortly.,,,
golden_025,Anyone know how i fix this? I took these videos on Saturday and it just doesnt let me play any videos atall in my album @AppleSupport 😤 https://t.co/Ouj3F2Qmu1,Anyone know how i fix this? I took these videos on Saturday and it just doesnt let me play any videos atall in my album 😤,pure_random,"@124864 We want you to be able to view your special moments. Just to clarify, this message appears in the Photos app, correct?",,,
golden_026,@AppleSupport App store now appears to be working,App store now appears to be working,pure_random,@129208 We're glad to hear everything is back to normal. Please reach out to us if there is ever anything else.,,,
golden_027,@AppleSupport Can i️ trade in a perfect contrition iphone 6s at the apple store? if so how much will i️ get,Can i️ trade in a perfect contrition iphone 6s at the apple store? if so how much will i️ get,pure_random,@152741 Hi there. Your local Apple Store will be able to provide that information based on inspecting the iPhone. You can find estimated trade-in values here: https://t.co/1OpwRY51id,,,
golden_028,@AppleSupport 11.1.2. I haven't tried it yet with my little Bluetooth sound bar at home but will soon.,11.1.2. I haven't tried it yet with my little Bluetooth sound bar at home but will soon.,pure_random,"@121503 Thank you. Please let us know. If the issue is only with CarPlay, your firmware may need to be updated. Please visit us here: https://t.co/tqjOBvBgl0 for more information.",,,
golden_029,Unable to update apps when connected to WiFi. @AppleSupport,Unable to update apps when connected to WiFi.,pure_random,"@122018 Thanks for reaching out to us about this issue. We want your device to work for you and we'll be happy to help out. To get started, can you tell us which device and OS version you're having this problem with? Also, what happens when you try to update?",,,
golden_030,@AppleSupport I cannot download and update apps on my iPhone 7 ☹️ and it’s not the first time.. really annoying and frustrating,I cannot download and update apps on my iPhone 7 ☹️ and it’s not the first time.. really annoying and frustrating,pure_random,"@135599 That's not the experience we want for you, but we're glad you reached out. So that we can get you back to enjoying your apps, what specific iOS is running under Settings &gt; General &gt; About?",,,
